	A_c	A_e	B_c	B_e	C_c	C_e
Cryptococcus_1	20.87438825	14.39477977	7.519738989	5.101468189	0.006525285	0.003262643
Pseudogymnoascus	19.39477977	12.75367047	16.80261011	17.53735726	25.22675367	21.65089723
Auriculariales_unidentified_1	0.526916803	9.037520392	0.003915171	0.096574225	0	0
Roridomyces	0.04730832	8.172920065	0.005220228	0.001305057	0	0
Trichosporon	2.23817292	6.597063622	0.379771615	0.567699837	0.142251223	0.234910277
Botryosphaeriales_unidentified_1	3.500815661	5.996737357	0.656443719	0.640783034	0.013050571	0.017944535
Mucor	0.716150082	5.588907015	1.053181077	0.780424144	0.870473083	0.659053834
Viridispora	1.437194127	5.438825449	0.057422512	0.062642741	3.913866232	7.815660685
Erythrobasidium	3.707993475	5.298531811	6.20685155	3.83817292	4.646003263	4.957585644
Curreya	22.78466558	4.920065253	0.567699837	0.424143556	0.909624796	0.040783034
Hypomyces	0.106035889	0.254486134	4.146166395	5.028384992	0.935725938	1.163132137
Archaeospora	0.034257749	0.026101142	0.063947798	0.030016313	6.687112561	6.481239804
Catenulostroma	0.001631321	0.003262643	1.740946166	6.770636215	0.198368679	0.293637847
Ceramothyrium	0	0	2.080261011	2.098531811	8.999673736	12.22838499
Sordariaceae_unidentified	0.001631321	0	6.551386623	4.884828711	0.010440457	0.017944535
