Samples	F7_C	F7_W	F1_C	F1_W	F5_C	F5_W
richness1	818	884	417	458	704	765
richness2	857	1002	591	301	716	373
richness3	1527	899		522	651	458
richness4	1401	891		667	725	930
richness5	1408	1563			676	
shannon1	4.757431617	4.778525681	3.391358982	3.80197285	4.771656704	4.806059657
shannon2	4.767074097	4.950138625	4.356070255	3.077857405	4.52665622	3.908204875
shannon3	5.475943517	4.764835845		3.612794002	4.634869151	4.807950368
shannon4	5.311395904	4.817443868		4.121911258	4.817841655	4.754560099
shannon5	5.305639996	5.517360598			4.746724484	
