Genus	A.c	A.e	B.c	B.e	C.c	C.e
Unclassified	48.16666667	54.45943563	0.204498978	0	27.73004695	0.619094396
Alternaria	35.29761905	17.5643739	30.31539814	39.40898345	33.17773307	67.05767612
Acremonium	3.833333333	5.233333333	7.402061029	3.333333333	4.69416499	5.649452708
Davidiella	2.476190476	3.704761905	24.10481575	18.42789598	14.02380952	5.393161194
Agaricomycetes_unidentified_1	1.238095238	0.580952381	0.326797386	0	0.285714286	0.654785293
Sphaerulina	0.952380952	0.380952381	0	0	0.469483568	0
Eurotiales_unidentified_1	0.928571429	0	0	0	0	0
Ascomycota_unidentified_1_1	0.857142857	0	0.326797386	0.354609929	0.619047619	0.541678361
Auricularia	0.833333333	0	0	0	0.047619048	0
Colletotrichum	0.69047619	0.071428571	0.326797386	0	0.119047619	0.416736832
Aspergillus	0.654761905	0	0	0	0.047619048	0.202404341
Botryosporium	0.571428571	0.047619048	0	0	0	0
Coprinopsis	0.5	0	0	0	0.19047619	0
Russula	0.416666667	0.047619048	0	0	0	0
Trichocomaceae_unidentified	0.416666667	0.047619048	0	0	0	0
Ophiostoma	0.166666667	0.023809524	0	0	0.047619048	0
Agaricales_unidentified_1	0.142857143	0.095238095	2.380952381	0	0.333333333	0.375011694
Pleospora	0.119047619	0.023809524	0	0	0.071428571	0.214285714
Pleosporaceae_unidentified	0.119047619	0.023809524	0	0	0.047619048	0.154785293
Hypocreales_unidentified_1	0.119047619	0	0	0	0	0
Incertae_sedis_3_unidentified	0.095238095	0	0.613496933	0	0.142857143	0
Myrothecium	0.095238095	0	0	0	0.380952381	0
Phaeoacremonium	0.095238095	0	0	0	0.023809524	0
Malassezia	0.095238095	0	0	0	0	0
Fungi_unidentified_1_1	0.095238095	0	0	1.666666667	0.047619048	0
Dothideomycetes_unidentified_1	0.095238095	0.047619048	0	0	0.119047619	0
Pleosporales_unidentified_1	0.071428571	0	0	0	0.047619048	0.113106932
Lepiota	0.071428571	0	0	0	0.047619048	0
Rhodosporidium	0.071428571	0	0	0	0	0
Glomerellaceae_unidentified	0.047619048	0	0	5.319148936	0	0
Pseudozyma	0.047619048	0.8	0.163398693	3.191489362	0	0
Sporobolomyces	0.047619048	0	0	0	0.047619048	0.047619048
Phoma	0.047619048	0.023809524	0	0	0	0
Leptosphaerulina	0.047619048	0	0	0	0	0
Marasmius	0.047619048	0	0	0	0	0
Russulales_unidentified_1	0.047619048	0	0	0	0	0
Trechispora	0.047619048	0	0	0	0	0
Diatrypaceae_unidentified	0.023809524	0	0.204498978	0.709219858	0.261904762	0.583403499
Polyporales_unidentified_1	0.023809524	0.266666667	0.204498978	0	0	0.071428571
Trametes	0.023809524	0	0	0	0.023809524	0.458415193
Erythrobasidium	0.023809524	0	0	0	0.285714286	0
Cryptococcus	0.023809524	0.266666667	0	0	0	0
Peniophora	0.023809524	0	0	0	0	0.023809524
Aureobasidium	0.023809524	0	0	0	0	0
Boletus	0.023809524	0	0	0	0	0
Bovista	0.023809524	0	0	0	0	0
Bullera	0.023809524	0	0	0	0	0
Clavulina	0.023809524	0	0	0	0	0
Curvularia	0.023809524	0	0	0	0	0
Langermannia	0.023809524	0	0	0	0	0
Pezizomycetes_unidentified_1	0.023809524	0	0	0	0	0
Sordariomycetes_unidentified_1	0	7.466666667	21.89370636	2.021276596	9.476190476	3.309710918
Wickerhamomyces	0	0	0	20	0	10.14285714
Ustilaginaceae_unidentified	0	7.733333333	10.38748833	3.085106383	0	0
Trichoderma	0	0.266666667	0.408997955	0	3.428571429	0.071428571
Yarrowia	0	0	0	0	2.166666667	0
Cryptococcus_1	0	0	0	1.418439716	0	0
Preussia	0	0	0	0.354609929	0	0.773832912
Botryosphaeria	0	0	0	0.354609929	0.047619048	0.375011694
Sarcinomyces	0	0	0.163398693	0	0.30952381	0.19047619
Chaetosphaeronema	0	0	0	0	0	0.595331649
Rhodotorula	0	0.266666667	0.204498978	0	0.095238095	0.023809524
Candida	0	0	0	0	0.023809524	0.35120217
Mucor	0	0	0	0	0.30952381	0.065487885
Lentinula	0	0	0	0.354609929	0	0
Lophiostoma	0	0	0	0	0	0.327439424
Chaetomium	0	0	0	0	0	0.309570587
Cladorrhinum	0	0.266666667	0	0	0	0
Podospora	0	0.266666667	0	0	0	0
Nectriaceae_unidentified	0	0	0	0	0.214285714	0.047619048
Fusarium	0	0	0	0	0.238095238	0
Penicillium	0	0	0	0	0.071428571	0.136916456
Cyberlindnera	0	0	0.204498978	0	0	0
Talaromyces	0	0	0	0	0	0.196463654
Incertae_sedis_26_unidentified	0	0	0.163398693	0	0.023809524	0
Hydropisphaera	0	0	0	0	0.142857143	0
Psathyrella	0	0	0	0	0	0.113106932
Hanseniaspora	0	0	0	0	0	0.095238095
Lycoperdon	0	0	0	0	0	0.095238095
Toxicocladosporium	0	0	0	0	0.071428571	0.023809524
Chaetomiaceae_unidentified	0	0	0	0	0	0.065487885
Phyllactinia	0	0	0	0	0	0.065487885
Ascochyta	0	0	0	0	0	0.023809524
Dioszegia	0	0	0	0	0.023809524	0
Hypocreaceae_unidentified	0	0	0	0	0	0.023809524
Leptosphaeriaceae_unidentified	0	0	0	0	0.023809524	0
Mortierella	0	0.023809524	0	0	0	0
