primer	Type	mismatch	percentage
B	E	0	15.27 
B	E	1	64.78 
B	E	>1	19.95 
B	E	0	21.20 
B	E	1	62.74 
B	E	>1	16.06 
B	E	0	20.80 
B	E	1	62.81 
B	E	>1	16.39 
B	E	0	17.21 
B	E	1	64.29 
B	E	>1	18.50 
B	E	0	20.44 
B	E	1	63.68 
B	E	>1	15.88 
B	EK	0	23.11 
B	EK	1	67.85 
B	EK	>1	9.04 
B	EK	0	30.38 
B	EK	1	60.82 
B	EK	>1	8.80 
B	EK	0	26.19 
B	EK	1	65.03 
B	EK	>1	8.78 
B	EK	0	24.71 
B	EK	1	65.51 
B	EK	>1	9.78 
B	EK	0	24.23 
B	EK	1	66.16 
B	EK	>1	9.62 
A	E	0	15.55 
A	E	1	77.06 
A	E	>1	7.39 
A	E	0	12.61 
A	E	1	79.56 
A	E	>1	7.83 
A	E	0	12.71 
A	E	1	80.01 
A	E	>1	7.28 
A	E	0	15.33 
A	E	1	78.50 
A	E	>1	6.17 
A	E	0	18.22 
A	E	1	75.21 
A	E	>1	6.57 
A	EK	0	35.26 
A	EK	1	59.88 
A	EK	>1	4.86 
A	EK	0	33.88 
A	EK	1	60.93 
A	EK	>1	5.19 
A	EK	0	36.23 
A	EK	1	59.33 
A	EK	>1	4.44 
A	EK	0	33.48 
A	EK	1	60.91 
A	EK	>1	5.61 
A	EK	0	33.76 
A	EK	1	61.43 
A	EK	>1	4.82 
C	E	0	21.98 
C	E	1	48.09 
C	E	>1	29.92 
C	E	0	25.18 
C	E	1	47.27 
C	E	>1	27.55 
C	E	0	23.74 
C	E	1	48.67 
C	E	>1	27.60 
C	E	0	23.58 
C	E	1	49.13 
C	E	>1	27.28 
C	E	0	26.41 
C	E	1	46.45 
C	E	>1	27.13 
C	EK	0	32.62 
C	EK	1	43.35 
C	EK	>1	24.02 
C	EK	0	40.56 
C	EK	1	37.33 
C	EK	>1	22.10 
C	EK	0	39.52 
C	EK	1	37.39 
C	EK	>1	23.09 
C	EK	0	37.45 
C	EK	1	40.74 
C	EK	>1	21.81 
C	EK	0	39.31 
C	EK	1	39.16 
C	EK	>1	21.53 
B	S	0	2.75 
B	S	1	93.13 
B	S	>1	4.12 
B	S	0	0.84 
B	S	1	94.61 
B	S	>1	4.56 
B	S	0	3.48 
B	S	1	92.46 
B	S	>1	4.06 
B	S	0	0.50 
B	S	1	95.22 
B	S	>1	4.28 
B	S	0	0.54 
B	S	1	95.33 
B	S	>1	4.13 
B	SK	0	13.61 
B	SK	1	82.32 
B	SK	>1	4.07 
B	SK	0	6.59 
B	SK	1	90.09 
B	SK	>1	3.32 
B	SK	0	8.25 
B	SK	1	88.18 
B	SK	>1	3.57 
B	SK	0	6.23 
B	SK	1	89.71 
B	SK	>1	4.06 
B	SK	0	13.30 
B	SK	1	82.83 
B	SK	>1	3.87 
A	S	0	5.79 
A	S	1	91.31 
A	S	>1	2.90 
A	S	0	3.64 
A	S	1	92.83 
A	S	>1	3.53 
A	S	0	4.87 
A	S	1	91.54 
A	S	>1	3.59 
A	S	0	3.61 
A	S	1	92.80 
A	S	>1	3.59 
A	S	0	4.89 
A	S	1	91.69 
A	S	>1	3.43 
A	SK	0	11.26 
A	SK	1	85.05 
A	SK	>1	3.70 
A	SK	0	13.95 
A	SK	1	82.70 
A	SK	>1	3.35 
A	SK	0	11.81 
A	SK	1	84.66 
A	SK	>1	3.53 
A	SK	0	10.93 
A	SK	1	85.47 
A	SK	>1	3.60 
A	SK	0	10.66 
A	SK	1	86.01 
A	SK	>1	3.33 
C	S	0	4.07 
C	S	1	64.62 
C	S	>1	31.31 
C	S	0	5.01 
C	S	1	61.08 
C	S	>1	33.92 
C	S	0	7.01 
C	S	1	61.97 
C	S	>1	31.02 
C	S	0	5.90 
C	S	1	63.92 
C	S	>1	30.18 
C	S	0	9.08 
C	S	1	61.75 
C	S	>1	29.17 
C	SK	0	33.50 
C	SK	1	42.11 
C	SK	>1	24.39 
C	SK	0	34.67 
C	SK	1	40.98 
C	SK	>1	24.35 
C	SK	0	37.39 
C	SK	1	40.01 
C	SK	>1	22.60 
C	SK	0	33.62 
C	SK	1	42.36 
C	SK	>1	24.02 
C	SK	0	23.57 
C	SK	1	49.23 
C	SK	>1	27.20 
